title,stage,blocks,mean_risk,median_risk,max_risk,T1,T2,T3,T4,absolute_priority_blocks_T1_T2,relative_priority_blocks_P1_P2,P1,P2,P3,P4,hard_validation_pass,scene_count
SSIS-400,사진 대조 1차 교정본,314,38.96,38.38,66.98,0,2,206,106,2,80,10,70,97,137,True,92
SONE-785,사진 대조 1차 교정본,392,38.94,39.09,68.97,0,2,247,143,2,102,13,89,119,171,True,63
ADN-622,사진 대조 1차 교정본,659,38.16,39.02,58.67,0,0,452,207,0,148,7,141,227,284,True,133
ADN-789,사진 대조 1차 교정본,273,37.38,36.91,60.83,0,5,155,113,5,62,8,54,87,124,True,84
SSIS-642,사진 대조 1차 교정본,798,37.06,37.47,63.27,0,1,468,329,1,193,22,171,244,361,True,126
ABF-337,사진 대조 1차 교정본,328,37.0,36.8,66.54,0,2,183,143,2,75,8,67,102,151,True,96
ABF-328,사진 대조 1차 교정본,941,36.87,37.08,60.67,0,1,568,372,1,213,20,193,302,426,True,150
ADN-746,사진 대조 1차 교정본,356,36.84,37.48,60.73,0,1,212,143,1,79,5,74,117,160,True,79
ABF-338,사진 대조 1차 교정본,604,36.6,36.56,60.83,0,1,340,263,1,138,14,124,188,278,True,109
ABF-196,사진 대조 1차 교정본,721,35.66,35.25,66.38,0,6,366,349,6,145,13,132,236,340,True,212
ABF-305,사진 대조 1차 교정본,1351,34.74,35.04,61.14,0,1,676,674,1,273,12,261,436,642,True,148
SSIS-575,사진 대조 1차 교정본,2218,33.98,34.56,62.26,0,1,1075,1142,1,449,26,423,701,1068,True,201
ABF-169,기준본,1181,33.74,33.51,62.17,0,1,522,658,1,234,10,224,366,581,False,161
SSIS-908,사진 대조 재번역본,406,31.94,32.05,61.14,0,1,158,247,1,77,7,70,123,206,True,92
ADN-503,화면 영문·사진 검증본,231,27.66,26.99,53.26,0,0,48,183,0,31,1,30,71,129,True,84
SSIS-652,사진 대조 재번역본,1184,27.34,27.14,55.96,0,0,215,969,0,146,2,144,374,664,True,115
ABF-303,원문·사진 검증본,1248,20.16,20.06,44.43,0,0,62,1186,0,94,0,94,352,802,True,177
